DATE,ACMTP10,10year yield,Rolling mean 10yr,Standard dev,buy,sell,yield10,dy,position,pnl_bps,cum_pnl
1999-10-21,1.907979859,6.17,1.597937314,0.134997468,1.0,,6.17,0.04999999999999982,-1,-499.99999999999824,-1199.9999999999923
1999-10-22,1.874487942,6.09,1.601229583,0.137532634,0.0,,6.09,-0.08000000000000007,-1,800.0000000000007,-399.9999999999916
1999-10-25,1.84978409,6.12,1.604153754,0.139344394,0.0,,6.12,0.03000000000000025,-1,-300.0000000000025,-699.9999999999941
1999-10-26,1.863984051,6.18,1.607175036,0.141327447,0.0,,6.18,0.05999999999999961,-1,-599.9999999999961,-1299.9999999999902
1999-10-27,1.79514905,6.19,1.609335657,0.14194132,0.0,,6.19,0.010000000000000675,-1,-100.00000000000675,-1399.999999999997
1999-10-28,1.720405624,6.2,1.610597816,0.141619023,0.0,,6.2,0.009999999999999787,-1,-99.99999999999787,-1499.999999999995
1999-10-29,1.615554964,6.21,1.610653514,0.140813051,0.0,,6.21,0.009999999999999787,-1,-99.99999999999787,-1599.999999999993
1999-11-01,1.638817162,6.22,1.610966444,0.140051199,0.0,,6.22,0.009999999999999787,-1,-99.99999999999787,-1699.999999999991
1999-11-02,1.599838418,6.24,1.610844158,0.139275849,0.0,,6.24,0.020000000000000462,-1,-200.0000000000046,-1899.9999999999955
1999-11-03,1.606530372,6.19,1.610797269,0.138509213,0.0,,6.19,-0.04999999999999982,-1,499.99999999999824,-1399.9999999999973
1999-11-04,1.569453702,6.12,1.610352714,0.137821084,0.0,,6.12,-0.07000000000000028,-1,700.0000000000028,-699.9999999999944
1999-11-05,1.512050368,6.02,1.609306945,0.137452571,0.0,,6.02,-0.10000000000000053,-1,1000.0000000000053,300.0000000000109
1999-11-08,1.486186832,6.06,1.608010943,0.13730179,0.0,,6.06,0.040000000000000036,-1,-400.00000000000034,-99.99999999998943
1999-11-09,1.473798771,6.04,1.6066129,0.137262435,0.0,,6.04,-0.019999999999999574,-1,199.99999999999574,100.00000000000631
1999-11-10,1.483060143,6.01,1.60533916,0.137120713,0.0,,6.01,-0.03000000000000025,-1,300.0000000000025,400.0000000000088
1999-11-12,1.463824227,5.95,1.60389513,0.137159053,0.0,,5.95,-0.05999999999999961,-1,599.9999999999961,1000.000000000005
1999-11-15,1.409035827,5.92,1.601926854,0.137855639,0.0,,5.92,-0.03000000000000025,-1,300.0000000000025,1300.0000000000075
1999-11-16,1.38061441,5.95,1.59971373,0.138931666,0.0,,5.95,0.03000000000000025,-1,-300.0000000000025,1000.000000000005
1999-11-17,1.473414739,5.97,1.598463245,0.138805341,0.0,,5.97,0.019999999999999574,-1,-199.99999999999574,800.0000000000093
1999-11-18,1.554187269,6.0,1.598029167,0.138186036,0.0,,6.0,0.03000000000000025,-1,-300.0000000000025,500.0000000000068
1999-11-19,1.51958899,,1.597267612,0.137724026,0.0,,,,-1,,
1999-11-22,1.550122943,5.93,1.596814298,0.137131777,0.0,,5.93,,-1,,
1999-11-23,1.564058223,5.94,1.596502335,0.136508331,0.0,,5.94,0.010000000000000675,-1,-100.00000000000675,400.00000000000006
1999-11-24,1.572930023,5.97,1.596279955,0.135876027,0.0,,5.97,0.02999999999999936,-1,-299.99999999999363,100.00000000000642
1999-11-26,1.593769343,6.04,1.596256491,0.135233802,0.0,,6.04,0.07000000000000028,-1,-700.0000000000028,-599.9999999999964
1999-11-29,1.646138216,6.06,1.596718359,0.134685939,0.0,,6.06,0.019999999999999574,-1,-199.99999999999574,-799.999999999992
1999-11-30,1.63879739,6.07,1.597104405,0.134121516,0.0,,6.07,0.010000000000000675,-1,-100.00000000000675,-899.9999999999987
1999-12-01,1.699346488,6.09,1.598033878,0.133860298,0.0,,6.09,0.019999999999999574,-1,-199.99999999999574,-1099.9999999999945
1999-12-02,1.700339091,6.08,1.598955547,0.133603798,0.0,,6.08,-0.009999999999999787,-1,99.99999999999787,-999.9999999999967
1999-12-03,1.658169569,6.09,1.599484244,0.133118257,0.0,,6.09,0.009999999999999787,-1,-99.99999999999787,-1099.9999999999945
1999-12-06,1.642516553,,1.59986506,0.132584461,0.0,,,,-1,,
1999-12-07,1.619082453,6.12,1.600033634,0.132008771,0.0,,6.12,,-1,,
1999-12-08,1.646626199,6.21,1.600438787,0.131500306,0.0,,6.21,0.08999999999999986,-1,-899.9999999999986,-1999.9999999999932
1999-12-09,1.611638919,6.18,1.60053534,0.130931447,0.0,,6.18,-0.03000000000000025,-1,300.0000000000025,-1699.9999999999907
1999-12-10,1.537560145,6.21,1.59999709,0.130495805,0.0,,6.21,0.03000000000000025,-1,-300.0000000000025,-1999.9999999999932
1999-12-13,1.534368841,6.24,1.599440919,0.130077313,0.0,,6.24,0.03000000000000025,-1,-300.0000000000025,-2299.9999999999955
1999-12-14,1.615475983,6.17,1.599575667,0.129533306,0.0,,6.17,-0.07000000000000028,-1,700.0000000000028,-1599.9999999999927
1999-12-15,1.6679203,6.16,1.600145206,0.129138698,0.0,,6.16,-0.009999999999999787,-1,99.99999999999787,-1499.9999999999948
1999-12-16,1.741989065,6.11,1.602261581,0.129366609,0.0,,6.11,-0.04999999999999982,-1,499.99999999999824,-999.9999999999966
1999-12-17,1.71102297,6.15,1.603794037,0.129558164,0.0,,6.15,0.040000000000000036,-1,-400.00000000000034,-1399.9999999999968
1999-12-20,1.780881008,6.14,1.605842668,0.130402822,0.0,,6.14,-0.010000000000000675,-1,100.00000000000675,-1299.99999999999
1999-12-21,1.805237786,6.08,1.608325812,0.131343499,0.0,,6.08,-0.05999999999999961,-1,599.9999999999961,-699.9999999999939
1999-12-22,1.785231973,6.11,1.611038366,0.131609732,0.0,,6.11,0.03000000000000025,-1,-300.0000000000025,-999.9999999999964
1999-12-23,1.802720403,6.22,1.613878792,0.132040733,0.0,,6.22,0.10999999999999943,-1,-1099.9999999999943,-2099.999999999991
1999-12-27,1.769737878,6.25,1.615967454,0.132510381,0.0,,6.25,0.03000000000000025,-1,-300.0000000000025,-2399.9999999999936
1999-12-28,1.795186417,6.31,1.618142967,0.133296107,0.0,,6.31,0.05999999999999961,-1,-599.9999999999961,-2999.99999999999
1999-12-29,1.781303692,6.3,1.62046041,0.133697951,0.0,,6.3,-0.009999999999999787,-1,99.99999999999787,-2899.9999999999923
1999-12-30,1.77819371,6.36,1.6227489,0.134030318,0.0,,6.36,0.0600000000000005,-1,-600.000000000005,-3499.9999999999973
1999-12-31,1.784127688,6.38,1.625058847,0.134405655,0.0,,6.38,0.019999999999999574,-1,-199.99999999999574,-3699.999999999993
2000-01-03,1.797013381,6.39,1.627977414,0.134304479,0.0,1.0,6.39,0.009999999999999787,1,99.99999999999787,-3599.9999999999955
2000-01-04,1.781069252,6.41,1.6308371,0.133876102,0.0,1.0,6.41,0.020000000000000462,1,200.0000000000046,-3399.999999999991
2000-01-05,1.847870993,,1.634926265,0.132937674,0.0,1.0,,,1,,
2000-01-06,1.774419533,6.4,1.638367303,0.131132476,0.0,1.0,6.4,,1,,
2000-01-07,1.752573703,6.43,1.641576666,0.129143995,0.0,1.0,6.43,0.02999999999999936,1,299.99999999999363,-3099.9999999999973
2000-01-10,1.737701377,6.4,1.644633288,0.127006881,0.0,1.0,6.4,-0.02999999999999936,1,-299.99999999999363,-3399.999999999991
2000-01-11,1.791277675,6.39,1.64805203,0.125362454,0.0,1.0,6.39,-0.010000000000000675,1,-100.00000000000675,-3499.9999999999977
2000-01-12,1.806172875,6.45,1.651512988,0.12392698,0.0,1.0,6.45,0.0600000000000005,1,600.000000000005,-2899.9999999999927
2000-01-13,1.715537199,6.58,1.65340627,0.12314623,0.0,1.0,6.58,0.1299999999999999,1,1299.9999999999989,-1599.9999999999939
2000-01-14,1.704932948,6.49,1.65501104,0.122546041,0.0,1.0,6.49,-0.08999999999999986,1,-899.9999999999986,-2499.9999999999927
2000-01-18,1.713227275,6.62,1.656887283,0.121689315,0.0,1.0,6.62,0.1299999999999999,1,1299.9999999999989,-1199.9999999999939
2000-01-19,1.681079908,6.57,1.658755074,0.120306896,0.0,1.0,6.57,-0.04999999999999982,1,-499.99999999999824,-1699.999999999992
2000-01-20,1.6954222,6.52,1.660965401,0.118495085,0.0,1.0,6.52,-0.05000000000000071,1,-500.0000000000071,-2199.999999999999
2000-01-21,1.674210308,6.57,1.662907069,0.11676018,0.0,1.0,6.57,0.05000000000000071,1,500.0000000000071,-1699.999999999992
2000-01-24,1.620144784,6.67,1.663985915,0.115749212,0.0,1.0,6.67,0.09999999999999964,1,999.9999999999965,-699.9999999999956
2000-01-25,1.642723596,6.72,1.665197345,0.114746957,0.0,1.0,6.72,0.04999999999999982,1,499.99999999999824,-199.99999999999733
2000-01-26,1.539812634,6.63,1.665774456,0.113931066,0.0,1.0,6.63,-0.08999999999999986,1,-899.9999999999986,-1099.999999999996
2000-01-27,1.421910548,6.69,1.665062609,0.115189252,0.0,0.0,6.69,0.0600000000000005,1,600.000000000005,-499.9999999999909
2000-01-28,1.298286362,,1.663236012,0.119216712,0.0,0.0,,,1,,
2000-01-31,1.341429323,6.75,1.661539286,0.122321564,0.0,0.0,6.75,,1,,
2000-02-01,1.319474565,6.73,1.659449745,0.125981534,0.0,0.0,6.73,-0.019999999999999574,1,-199.99999999999574,-699.9999999999866
2000-02-02,1.266899649,6.79,1.656599877,0.130906803,0.0,0.0,6.79,0.05999999999999961,1,599.9999999999961,-99.99999999999045
2000-02-03,1.246519317,6.79,1.653655027,0.13606613,0.0,0.0,6.79,0.0,1,0.0,-99.99999999999045
2000-02-04,1.191570768,6.69,1.649536397,0.142416645,0.0,0.0,6.69,-0.09999999999999964,1,-999.9999999999965,-1099.9999999999868
2000-02-07,1.224912053,6.7,1.646384585,0.147545115,0.0,0.0,6.7,0.009999999999999787,1,99.99999999999787,-999.999999999989
2000-02-08,1.093981463,6.69,1.641939687,0.155919461,0.0,0.0,6.69,-0.009999999999999787,1,-99.99999999999787,-1099.9999999999868
2000-02-09,1.238211522,6.68,1.639085369,0.16012775,0.0,0.0,6.68,-0.010000000000000675,1,-100.00000000000675,-1199.9999999999936
2000-02-10,1.341256358,6.66,1.637237255,0.162278278,0.0,1.0,6.66,-0.019999999999999574,1,-199.99999999999574,-1399.9999999999893
2000-02-11,1.316071833,6.68,1.634934966,0.164859769,0.0,1.0,6.68,0.019999999999999574,1,199.99999999999574,-1199.9999999999936
2000-02-14,1.239432127,6.62,1.632329217,0.168608247,0.0,0.0,6.62,-0.05999999999999961,1,-599.9999999999961,-1799.9999999999898
2000-02-15,1.25724315,6.6,1.630168316,0.171737167,0.0,0.0,6.6,-0.020000000000000462,1,-200.0000000000046,-1999.9999999999943
2000-02-16,1.283609695,6.49,1.628125396,0.174391217,0.0,1.0,6.49,-0.10999999999999943,1,-1099.9999999999943,-3099.9999999999886
2000-02-17,1.204550837,6.53,1.625955822,0.178020659,0.0,0.0,6.53,0.040000000000000036,1,400.00000000000034,-2699.999999999988
2000-02-18,1.127736244,6.64,1.6233926,0.182935096,0.0,0.0,6.64,0.10999999999999943,1,1099.9999999999943,-1599.9999999999939
2000-02-22,1.069045074,6.59,1.619817297,0.189480249,0.0,0.0,6.59,-0.04999999999999982,1,-499.99999999999824,-2099.9999999999923
2000-02-23,1.07898825,6.56,1.615604599,0.195786477,0.0,0.0,6.56,-0.03000000000000025,1,-300.0000000000025,-2399.9999999999945
2000-02-24,1.10108492,6.67,1.611323072,0.201341701,0.0,0.0,6.67,0.11000000000000032,1,1100.0000000000032,-1299.9999999999914
2000-02-25,1.216740673,6.63,1.607827902,0.204522226,0.0,1.0,6.63,-0.040000000000000036,1,-400.00000000000034,-1699.9999999999918
2000-02-28,1.187121532,6.56,1.603515286,0.207892221,0.0,0.0,6.56,-0.07000000000000028,1,-700.0000000000028,-2399.9999999999945
2000-02-29,1.13234908,6.56,1.59937736,0.212278167,0.0,0.0,6.56,0.0,1,0.0,-2399.9999999999945
2000-03-01,1.170866185,6.56,1.595018749,0.215663683,0.0,1.0,6.56,0.0,1,0.0,-2399.9999999999945
2000-03-02,1.104771989,6.58,1.590141539,0.220069642,0.0,0.0,6.58,0.020000000000000462,1,200.0000000000046,-2199.99999999999
2000-03-03,1.05531484,6.49,1.584605017,0.225083056,0.0,0.0,6.49,-0.08999999999999986,1,-899.9999999999986,-3099.9999999999886
2000-03-06,1.091308626,,1.579740775,0.229378976,0.0,0.0,,,1,,
2000-03-07,1.147329014,6.36,1.575083055,0.232442669,0.0,1.0,6.36,,1,,
2000-03-08,1.169861273,6.44,1.570068602,0.234647812,0.0,1.0,6.44,0.08000000000000007,1,800.0000000000007,-2299.999999999988
2000-03-09,1.167024865,6.36,1.56504653,0.23677929,0.0,1.0,6.36,-0.08000000000000007,1,-800.0000000000007,-3099.999999999989
2000-03-10,1.177505185,6.36,1.560562398,0.238989051,0.0,1.0,6.36,0.0,1,0.0,-3099.999999999989
2000-03-13,1.182122361,6.37,1.556549624,0.241275195,0.0,1.0,6.37,0.009999999999999787,1,99.99999999999787,-2999.9999999999914
2000-03-14,1.138636515,6.42,1.551999823,0.243972718,0.0,1.0,6.42,0.04999999999999982,1,499.99999999999824,-2499.999999999993
2000-03-15,1.074066553,6.39,1.546724078,0.247410226,0.0,1.0,6.39,-0.03000000000000025,1,-300.0000000000025,-2799.9999999999955
2000-03-16,1.049796899,6.4,1.541221435,0.251061836,0.0,1.0,6.4,0.010000000000000675,1,100.00000000000675,-2699.9999999999886
2000-03-17,0.984382656,6.39,1.535907281,0.256035642,0.0,0.0,6.39,-0.010000000000000675,1,-100.00000000000675,-2799.9999999999955
2000-03-20,0.958229705,6.42,1.530743651,0.261374953,0.0,0.0,6.42,0.03000000000000025,1,300.0000000000025,-2499.9999999999927
2000-03-21,0.898152696,6.39,1.524719152,0.267534025,0.0,0.0,6.39,-0.03000000000000025,1,-300.0000000000025,-2799.9999999999955
2000-03-22,0.926692761,6.38,1.518317242,0.272571146,0.0,0.0,6.38,-0.009999999999999787,1,-99.99999999999787,-2899.999999999993
2000-03-23,0.878227364,6.35,1.511199918,0.278032607,0.0,0.0,6.35,-0.03000000000000025,1,-300.0000000000025,-3199.9999999999955
2000-03-24,0.899082743,6.39,1.504819992,0.28321685,0.0,0.0,6.39,0.040000000000000036,1,400.00000000000034,-2799.999999999995
2000-03-27,0.886222264,6.36,1.497481041,0.287742856,0.0,0.0,6.36,-0.02999999999999936,1,-299.99999999999363,-3099.9999999999886
2000-03-28,0.9144091,6.31,1.490618918,0.291752983,0.0,1.0,6.31,-0.05000000000000071,1,-500.0000000000071,-3599.999999999996
2000-03-29,0.931910156,6.29,1.483546753,0.294933956,0.0,1.0,6.29,-0.019999999999999574,1,-199.99999999999574,-3799.999999999992
2000-03-30,0.865750337,6.26,1.476504016,0.299514721,0.0,0.0,6.26,-0.03000000000000025,1,-300.0000000000025,-4099.9999999999945
2000-03-31,0.808241137,6.2,1.469118151,0.30497095,0.0,0.0,6.2,-0.05999999999999961,1,-599.9999999999961,-4699.999999999991
2000-04-03,0.819900294,6.18,1.461470284,0.309651813,0.0,0.0,6.18,-0.020000000000000462,1,-200.0000000000046,-4899.999999999995
2000-04-04,0.851629315,6.13,1.454032888,0.313500222,0.0,1.0,6.13,-0.04999999999999982,1,-499.99999999999824,-5399.999999999994
2000-04-05,0.835117035,6.13,1.445971366,0.316883902,0.0,1.0,6.13,0.0,1,0.0,-5399.999999999994
2000-04-06,0.785649099,6.08,1.437182541,0.320460387,0.0,0.0,6.08,-0.04999999999999982,1,-499.99999999999824,-5899.999999999992
2000-04-07,0.715843538,6.2,1.427932085,0.325132808,0.0,0.0,6.2,0.1200000000000001,1,1200.0000000000011,-4699.999999999991
2000-04-10,0.786135115,6.21,1.419181478,0.328168783,0.0,1.0,6.21,0.009999999999999787,1,99.99999999999787,-4599.999999999993
2000-04-11,0.865858295,6.17,1.410801682,0.329359999,0.0,1.0,6.17,-0.040000000000000036,1,-400.00000000000034,-4999.999999999993
2000-04-12,0.914482617,6.18,1.40300313,0.329944622,0.0,1.0,6.18,0.009999999999999787,1,99.99999999999787,-4899.9999999999945
2000-04-13,0.881234329,6.06,1.394446917,0.330052289,0.0,1.0,6.06,-0.1200000000000001,1,-1200.0000000000011,-6099.999999999995
2000-04-14,0.892271071,6.03,1.386261777,0.33022667,0.0,1.0,6.03,-0.02999999999999936,1,-299.99999999999363,-6399.999999999989
2000-04-17,1.020552014,6.0,1.379351509,0.329119901,0.0,1.0,6.0,-0.03000000000000025,1,-300.0000000000025,-6699.999999999992
2000-04-18,1.011709519,5.9,1.372249222,0.32776693,0.0,1.0,5.9,-0.09999999999999964,1,-999.9999999999965,-7699.999999999988
2000-04-19,0.90129102,5.9,1.364800405,0.328231923,0.0,1.0,5.9,0.0,1,0.0,-7699.999999999988
2000-04-20,0.884249866,5.93,1.35783244,0.329492284,0.0,1.0,5.93,0.02999999999999936,1,299.99999999999363,-7399.9999999999945
2000-04-24,0.951514373,5.86,1.352298768,0.33070149,0.0,1.0,5.86,-0.0699999999999994,1,-699.999999999994,-8099.999999999988
2000-04-25,0.935088116,5.8,1.34643436,0.331815715,0.0,1.0,5.8,-0.0600000000000005,1,-600.000000000005,-8699.999999999993
